37,124,22,23,27,24,27,23,1294,927,800,632,514,254,432,58,91,154,42,22,31,45,24,23,2267,2495,2505,2336,2615,3166,2720,3007,2897,3792,18139,437,-9172,1293
85,141,23,25,26,25,27,23,1436,1074,1011,908,753,468,450,59,126,156,63,22,23,38,23,22,2154,2403,2413,2214,2580,3014,2714,3148,2878,3315,17733,-1678,-3495,154
100,197,24,24,31,25,29,25,1496,1180,1143,1183,863,662,495,60,143,150,88,22,37,48,22,23,2029,2194,2298,2047,2520,2862,2722,3267,2406,3643,13589,-2327,-1097,-206
116,263,24,23,33,24,26,23,1509,1240,1275,1386,970,786,533,57,153,158,97,23,35,46,22,23,2013,2111,2223,1951,2484,2796,2711,3305,1824,2907,16725,-1206,-126,-408
132,317,25,25,34,24,32,27,1539,1310,1384,1561,1086,965,630,58,148,167,105,32,32,52,22,22,1967,2028,2118,1828,2401,2625,2621,3351,1577,3029,16338,-119,343,-392
141,361,30,31,35,24,241,25,1557,1341,1491,1689,1194,1100,678,82,151,170,118,45,38,51,25,23,1962,1964,2041,1731,2327,2516,2401,3325,1669,3073,16488,365,413,-293
146,388,33,35,34,24,392,26,1570,1356,1544,1786,1274,1189,676,92,158,174,125,46,33,52,25,23,1943,1920,1985,1660,2262,2434,2300,3330,1593,3231,16223,632,353,-235
157,410,44,35,33,25,461,36,1568,1375,1595,1838,1357,1262,681,93,168,178,130,51,34,51,25,26,1912,1868,1942,1616,2203,2397,2275,3342,1575,3316,16208,661,193,-150
174,421,47,35,32,25,470,40,1573,1388,1625,1894,1409,1297,689,95,169,181,129,50,36,51,26,32,1887,1845,1917,1582,2175,2344,2241,3308,1562,3340,16130,586,3,-61
195,444,50,36,31,25,495,38,1586,1398,1671,1942,1466,1336,696,95,172,185,130,51,35,51,26,33,1877,1828,1880,1523,2122,2318,2196,3332,1464,3288,16086,591,-179,-10
238,470,52,42,29,26,547,38,1570,1402,1708,2031,1532,1412,719,94,181,192,138,51,38,50,25,26,1811,1783,1818,1423,2037,2245,2085,3335,1476,3334,16053,403,-353,57
307,522,58,51,29,27,600,39,1561,1384,1731,2144,1624,1507,810,95,193,222,174,55,37,49,25,26,1736,1703,1728,1283,1965,2149,1946,3315,1529,3367,16044,16,-657,210
395,566,84,56,29,27,634,44,1545,1380,1764,2215,1696,1581,888,107,204,252,220,78,42,53,26,26,1650,1645,1629,1169,1866,2050,1807,3322,1601,3272,16153,-2,-542,248
461,609,108,69,29,27,667,53,1523,1386,1780,2301,1777,1650,946,125,227,282,246,103,48,57,25,29,1596,1596,1565,1076,1795,1991,1725,3253,1678,3295,16159,66,-461,240
519,636,127,86,29,28,680,56,1494,1357,1807,2322,1826,1706,1030,154,255,312,270,127,52,56,28,35,1534,1557,1494,1013,1732,1936,1640,3199,1645,3263,16114,141,-329,200
569,659,144,98,30,29,694,58,1492,1352,1865,2365,1892,1776,1103,179,264,349,275,141,59,57,34,39,1471,1499,1420,949,1667,1858,1519,3185,1654,3243,16122,240,-340,149
623,705,175,121,30,29,704,57,1473,1334,1878,2373,1963,1841,1204,184,280,379,291,172,62,58,36,40,1411,1454,1344,896,1606,1794,1415,3177,1707,3302,16136,305,-439,174
693,730,196,145,31,29,706,59,1470,1322,1935,2402,2012,1890,1290,191,290,402,312,196,62,56,38,39,1352,1413,1257,827,1534,1742,1319,3153,1729,3311,16082,324,-483,182
741,750,218,157,31,30,706,58,1460,1328,1975,2445,2082,1956,1355,206,295,406,303,209,64,56,39,38,1295,1382,1187,749,1462,1656,1244,3129,1727,3434,16030,307,-469,198
797,765,235,168,31,30,698,56,1435,1332,2030,2497,2141,2024,1439,214,308,410,305,218,63,58,39,37,1251,1353,1129,691,1410,1598,1184,3115,1664,3380,16035,219,-445,204
855,809,260,189,31,31,694,59,1431,1339,2055,2542,2212,2067,1511,237,326,392,339,244,67,59,39,40,1180,1314,1036,592,1345,1536,1132,3080,1616,3496,16111,10,-408,281
951,849,299,210,33,32,683,62,1366,1320,2081,2570,2242,2148,1615,249,327,426,391,294,61,49,42,49,1127,1261,917,503,1294,1483,1010,3017,1631,3585,15940,-328,-404,431
1075,885,351,257,37,34,719,74,1286,1292,2116,2514,2274,2184,1725,322,362,504,452,377,88,59,39,47,1049,1184,754,423,1226,1402,889,2951,1653,3435,15866,-612,-344,535
